,prices,market_caps,total_volumes
2023-12-25 17:00:02.210,1.0903542749806838e-05,6417506769.993716,209452920.01724917
2023-12-25 18:01:13.620,1.0958084865966462e-05,6460196974.038075,205288643.47390917
2023-12-25 19:00:13.452,1.095826275484314e-05,6468135137.219655,204184531.0234412
2023-12-25 20:00:23.004,1.0980205705183774e-05,6474088586.735261,200512943.3047493
2023-12-25 21:00:40.047,1.0901188194635143e-05,6428361246.173877,198983482.68420455
2023-12-25 22:00:57.944,1.097735155165499e-05,6460676248.400727,203153671.07456604
2023-12-25 23:00:49.497,1.102725698450013e-05,6491310572.533819,187788353.269717
2023-12-26 00:00:41.326,1.1021304516636011e-05,6502259395.366828,176967498.23827708
2023-12-26 01:00:37.366,1.093583220867921e-05,6448476857.385711,170880944.28969827
2023-12-26 02:00:53.430,1.0901829999407577e-05,6422051641.590496,171769425.6377686
2023-12-26 03:00:21.878,1.0944507765636622e-05,6450847278.41875,170028369.89125627
2023-12-26 04:00:50.287,1.090749353352124e-05,6429923166.868322,165295283.78880483
2023-12-26 05:00:39.585,1.0897940361187357e-05,6422482999.355613,165207402.00896192
2023-12-26 06:00:45.236,1.0669423550753153e-05,6293395849.138056,180997718.17641735
2023-12-26 07:00:55.143,1.0630870300096079e-05,6281830986.944786,185502624.2745795
2023-12-26 08:01:00.271,1.0678817474611217e-05,6284818740.347791,189180375.07986715
2023-12-26 09:00:33.876,1.0674622440837106e-05,6301810696.863996,179771112.82668272
2023-12-26 10:01:05.441,1.059061556030592e-05,6237394369.022949,186568199.62013662
2023-12-26 11:00:30.370,1.0699931257440886e-05,6303409378.95667,187313233.0680886
2023-12-26 12:01:25.572,1.0747332681039547e-05,6328815520.038803,182022169.82100117
2023-12-26 13:00:12.319,1.0792901446413239e-05,6347884981.19792,180730177.3744761
2023-12-26 14:00:31.191,1.0814874810586422e-05,6371700741.176138,167378424.0894729
2023-12-26 15:01:14.882,1.0787339830609833e-05,6363505492.097084,164454692.23540187
2023-12-26 16:01:35.606,1.0620016464181943e-05,6290774626.023671,166023856.97656217
2023-12-26 17:00:33.523,1.062615007038417e-05,6263669906.216018,166035951.02749383
2023-12-26 18:00:24.170,1.0278088186671394e-05,6046680627.269929,190866433.95058233
2023-12-26 19:00:43.596,1.0392029144126228e-05,6101540889.742227,201800102.52776632
2023-12-26 20:00:24.633,1.0408338603820143e-05,6142737739.368596,209154196.45688206
2023-12-26 21:00:08.682,1.0472013352635987e-05,6173837337.335835,206990452.36025044
2023-12-26 22:00:36.692,1.0496245491258478e-05,6186140173.894409,205816740.17652902
2023-12-26 23:00:44.879,1.0560092786092642e-05,6212671245.598642,204668604.83510503
2023-12-27 00:01:03.971,1.0572637234026539e-05,6229336634.274432,206345388.3186389
2023-12-27 01:01:03.554,1.0494892124500262e-05,6195439061.1756,207042970.9153874
2023-12-27 02:01:12.031,1.0494928631302575e-05,6188828296.663169,203414910.8525059
2023-12-27 03:00:54.594,1.0348455119970819e-05,6110049448.434636,211776125.69506404
